%DISTANCES (mm from top)	%sample	%d13C?	%original d18O?
219.68	1.00	2.65	-4.97
220.32	1.00	2.52	-5.11
221.54	1.00	1.96	-5.01
222.26	1.00	1.91	-4.99
223.09	1.00	2.47	-5.01
223.89	1.00	2.43	-5.05
225.50	1.00	2.12	-4.85
226.14	1.00	1.88	-5.20
227.39	1.00	2.01	-4.81
228.29	1.00	1.68	-4.95
229.67	1.00	2.07	-5.16
230.32	1.00	1.83	-5.07
231.85	1.00	2.11	-4.78
232.43	1.00	2.02	-4.97
233.71	1.00	1.73	-4.75
234.48	1.00	1.33	-4.86
235.78	1.00	1.52	-4.70
236.43	1.00	1.40	-4.64
237.78	1.00	1.47	-4.62
238.43	1.00	1.79	-4.81
239.72	1.00	1.71	-4.59
240.42	1.00	2.10	-4.63
241.77	1.00	2.22	-4.75
242.44	1.00	2.11	-5.05
243.69	1.00	1.74	-4.84
244.33	1.00	2.01	-4.97
245.68	1.00	1.87	-4.92
246.40	1.00	1.99	-4.81
247.83	1.00	2.00	-5.01
248.50	1.00	1.90	-5.05
249.34	1.00	1.67	-5.04
249.67	1.00	1.86	-4.96
250.06	1.00	1.71	-4.82
250.36	1.00	1.84	-4.90
250.95	1.00	1.71	-4.94
251.32	1.00	1.65	-5.09
251.69	1.00	1.72	-4.96
251.99	1.00	1.65	-5.07
252.28	1.00	1.75	-5.19
252.60	1.00	1.97	-5.00
253.31	1.00	1.95	-4.99
253.77	1.00	1.97	-5.09
254.06	1.00	1.93	-5.07
254.39	1.00	2.08	-4.93
254.62	1.00	1.92	-5.05
255.14	1.00	1.77	-4.94
255.28	1.00	1.66	-4.55
255.47	1.00	1.23	-4.72
255.60	1.00	1.25	-4.97
255.90	1.00	1.27	-4.97
256.23	1.00	1.76	-5.21
256.31	1.00	1.68	-5.16
257.37	1.00	1.88	-5.24
257.82	1.00	2.00	-5.18
258.17	1.00	1.89	-5.23
258.70	1.00	2.05	-5.02
259.06	1.00	2.09	-4.93
259.61	1.00	1.87	-5.05
260.05	1.00	1.99	-5.05
260.30	1.00	1.74	-4.91
260.68	1.00	1.45	-5.02
261.05	1.00	1.60	-5.10
261.74	1.00	1.45	-5.05
261.99	1.00	1.30	-5.20
262.35	1.00	1.56	-5.08
262.65	1.00	1.66	-5.06
263.02	1.00	1.46	-5.12
263.78	1.00	1.33	-4.93
264.05	1.00	1.26	-4.97
264.37	1.00	1.20	-5.00
264.67	1.00	1.51	-5.04
264.86	1.00	1.24	-5.20
265.53	1.00	1.17	-5.25
265.80	1.00	1.27	-5.29
266.28	1.00	1.26	-5.16
266.62	1.00	1.44	-5.15
266.79	1.00	1.53	-5.22
267.42	1.00	1.54	-5.22
267.90	1.00	1.41	-5.37
268.23	1.00	1.50	-5.22
268.58	1.00	1.44	-5.18
268.98	1.00	1.24	-5.07
269.71	1.00	0.92	-5.05
269.92	1.00	1.07	-5.23
270.28	1.00	1.44	-5.18
270.54	1.00	1.32	-5.17
270.84	1.00	1.63	-5.14
271.65	1.00	1.29	-5.17
271.93	1.00	1.08	-5.17
272.22	1.00	1.05	-5.09
272.51	1.00	1.15	-5.13
272.82	1.00	0.90	-5.10
273.41	1.00	1.10	-4.97
273.82	1.00	1.00	-5.21
274.43	1.00	0.88	-5.12
274.65	1.00	1.43	-4.85
275.07	1.00	1.20	-5.00
275.38	1.00	1.01	-4.95
275.65	1.00	0.82	-4.97
275.74	1.00	1.00	-4.94
275.88	1.00	0.84	-4.98
276.01	1.00	0.71	-4.98
276.21	1.00	0.89	-4.97
276.34	1.00	1.00	-5.01
276.71	1.00	0.95	-5.07
276.95	1.00	0.98	-5.12
277.62	1.00	1.09	-5.03
277.84	1.00	0.97	-4.98
278.26	1.00	0.88	-5.05
278.61	1.00	1.06	-5.00
279.00	1.00	1.20	-5.01
279.52	1.00	1.34	-5.01
279.78	1.00	1.20	-5.12
280.29	1.00	0.94	-5.13
280.65	1.00	1.20	-4.95
281.08	1.00	1.00	-5.00
281.39	1.00	1.02	-5.03
281.70	1.00	0.88	-4.93
282.40	1.00	1.06	-4.89
282.77	1.00	1.15	-4.88
283.08	1.00	1.28	-4.92
283.28	1.00	1.03	-4.95
283.60	1.00	0.90	-5.01
284.36	1.00	0.84	-5.13
284.74	1.00	0.39	-5.19
285.09	1.00	0.54	-5.11
285.40	1.00	0.45	-5.13
285.77	1.00	0.66	-5.18
286.37	1.00	0.99	-5.17
286.73	1.00	0.88	-5.16
286.99	1.00	0.67	-5.37
287.34	1.00	0.69	-5.36
287.63	1.00	0.73	-5.28
288.28	1.00	0.71	-4.93
288.71	1.00	0.52	-5.17
289.04	1.00	0.67	-5.34
289.28	1.00	1.10	-5.13
289.62	1.00	0.63	-5.18
290.29	1.00	0.55	-4.88
290.57	1.00	0.69	-4.83
290.91	1.00	0.72	-5.12
291.10	1.00	0.83	-5.26
291.49	1.00	1.10	-5.29
292.23	1.00	1.13	-5.21
292.66	1.00	1.13	-5.21
292.90	1.00	0.98	-5.24
293.25	1.00	1.03	-5.17
293.60	1.00	0.98	-5.09
294.17	1.00	1.50	-5.13
294.54	1.00	1.18	-5.19
294.92	1.00	1.25	-5.14
295.26	1.00	0.99	-5.37
295.67	1.00	1.10	-5.32
296.35	1.00	0.99	-5.33
296.80	1.00	1.60	-5.30
297.04	1.00	1.40	-5.38
297.47	1.00	1.21	-5.47
297.66	1.00	1.53	-5.34
298.38	1.00	1.30	-5.62
298.77	1.00	2.36	-5.49
298.97	1.00	2.03	-5.51
299.22	1.00	1.25	-5.54
299.56	1.00	1.17	-5.43
300.38	1.00	1.23	-5.49
300.82	1.00	1.34	-5.40
301.17	1.00	1.40	-5.42
301.58	1.00	1.33	-5.55
301.89	1.00	1.31	-5.47
302.46	1.00	1.27	-5.28
302.75	1.00	1.29	-5.29
303.05	1.00	1.11	-5.22
303.32	1.00	1.09	-5.36
303.60	1.00	1.22	-5.28
304.32	1.00	1.41	-5.05
304.53	1.00	1.23	-5.01
304.80	1.00	0.97	-4.99
304.96	1.00	0.69	-5.00
305.21	1.00	0.80	-4.97
305.50	1.00	0.82	-4.93
305.78	1.00	0.89	-5.03
306.31	1.00	0.96	-4.96
306.54	1.00	1.24	-4.78
306.91	1.00	1.17	-5.27
307.22	1.00	1.32	-4.94
307.63	1.00	1.18	-5.12
307.96	1.00	1.22	-5.04
308.27	1.00	1.10	-5.16
308.58	1.00	1.24	-5.12
308.92	1.00	1.11	-4.97
309.20	1.00	1.10	-4.89
309.52	1.00	1.47	-5.00
310.45	1.00	1.16	-5.27
310.72	1.00	1.33	-5.20
311.13	1.00	1.17	-5.35
311.43	1.00	1.23	-4.99
311.76	1.00	0.96	-5.20
312.34	1.00	1.06	-5.31
312.69	1.00	0.96	-5.22
313.04	1.00	1.18	-5.45
313.33	1.00	0.97	-5.23
313.70	1.00	0.95	-5.30
314.26	1.00	0.81	-5.23
314.77	1.00	0.80	-5.18
315.02	1.00	0.87	-5.31
315.34	1.00	1.01	-5.25
315.88	1.00	0.98	-5.27
316.38	1.00	1.02	-5.24
316.75	1.00	0.99	-5.27
